Origen,Destino,Distancia_KM,Tiempo_Horas,Peaje_MXN
Aguascalientes,Mexicali,2131.417,23.787222222222223,1677.0
Aguascalientes,La Paz,1347.574,22.410555555555554,0.0
Aguascalientes,Campeche,1608.818,20.192777777777778,2828.0
Aguascalientes,Tuxtla Gutiérrez,1311.998,15.451666666666666,2750.0
Aguascalientes,Chihuahua,943.605,10.875833333333333,1220.0
Aguascalientes,Ciudad de México,499.138,5.947777777777778,1173.0
Aguascalientes,Saltillo,485.676,5.7188888888888885,110.0
Aguascalientes,Colima,411.324,4.8069444444444445,1261.0
Aguascalientes,Durango,472.133,5.638055555555556,190.0
Aguascalientes,Guanajuato,180.539,2.485,396.0
Aguascalientes,Chilpancingo,766.924,8.816944444444445,1582.0
Aguascalientes,Pachuca,503.62,5.820833333333334,1058.0
Aguascalientes,Guadalajara,222.536,2.838611111111111,641.0
Aguascalientes,Toluca,475.297,5.940833333333333,877.0
Aguascalientes,Morelia,314.485,3.7405555555555554,814.0
Aguascalientes,Cuernavaca,578.599,6.8933333333333335,1287.0
Aguascalientes,Tepic,424.398,5.201388888888889,1331.0
Aguascalientes,Monterrey,573.364,6.687222222222222,388.0
Aguascalientes,Oaxaca,987.635,13.230555555555556,1711.0
Aguascalientes,Puebla,615.059,7.163333333333333,1515.0
Aguascalientes,Querétaro,287.702,3.424722222222222,689.0
Aguascalientes,Chetumal,1805.042,21.860555555555557,2600.0
Aguascalientes,San Luis Potosí,167.592,2.3577777777777778,0.0
Aguascalientes,Culiacán,904.327,10.695277777777777,0.0
Aguascalientes,Hermosillo,1572.208,18.176111111111112,0.0
Aguascalientes,Villahermosa,1230.233,14.22638888888889,2548.0
Aguascalientes,Ciudad Victoria,498.088,6.022777777777778,496.0
Aguascalientes,Tlaxcala,592.653,6.763333333333334,1446.0
Aguascalientes,Xalapa,746.035,8.572777777777778,1700.0
Aguascalientes,Mérida,1791.035,21.954444444444444,2923.0
Aguascalientes,Zacatecas,118.158,1.6636111111111112,44.0
Mexicali,La Paz,1348.681,15.72638888888889,0.0
Mexicali,Campeche,3924.077,42.87722222222222,0.0
Mexicali,Tuxtla Gutiérrez,3627.257,38.13583333333333,0.0
Mexicali,Chihuahua,1183.784,13.067777777777778,370.0
Mexicali,Ciudad de México,2587.864,29.566666666666666,4441.0
Mexicali,Saltillo,1914.136,20.881666666666668,1570.0
Mexicali,Colima,2210.432,24.81888888888889,3530.0
Mexicali,Durango,1742.218,19.41611111111111,370.0
Mexicali,Guanajuato,2322.897,26.450277777777778,3718.0
Mexicali,Chilpancingo,2844.143,32.23444444444444,4883.0
Mexicali,Pachuca,2604.66,29.433888888888887,4351.0
Mexicali,Guadalajara,2052.691,23.316388888888888,3031.0
Mexicali,Toluca,2519.833,28.689444444444444,4151.0
Mexicali,Morelia,2335.884,26.337222222222223,3707.0
Mexicali,Cuernavaca,2655.818,30.310833333333335,4588.0
Mexicali,Tepic,1846.582,20.769166666666667,2341.0
Mexicali,Monterrey,2148.058,20.67,0.0
Mexicali,Oaxaca,3088.675,36.84388888888889,5004.0
Mexicali,Puebla,2716.099,30.77638888888889,4808.0
Mexicali,Querétaro,2410.965,27.212777777777777,3650.0
Mexicali,Chetumal,4120.301,44.545,0.0
Mexicali,San Luis Potosí,2206.077,24.581666666666667,1633.0
Mexicali,Culiacán,1396.745,15.903611111111111,801.0
Mexicali,Hermosillo,694.5,8.148055555555555,256.0
Mexicali,Villahermosa,3545.492,36.910833333333336,0.0
Mexicali,Ciudad Victoria,2422.809,23.718888888888888,0.0
Mexicali,Tlaxcala,2693.693,30.376666666666665,4739.0
Mexicali,Xalapa,2847.075,32.18611111111111,4993.0
Mexicali,Mérida,4106.294,44.638888888888886,0.0
Mexicali,Zacatecas,2019.339,22.27722222222222,1567.0
La Paz,Campeche,2787.584,40.297222222222224,5540.0
La Paz,Tuxtla Gutiérrez,2490.764,35.55583333333333,5462.0
La Paz,Chihuahua,1111.928,22.49361111111111,0.0
La Paz,Ciudad de México,1665.59,26.057777777777776,3860.0
La Paz,Saltillo,1406.76,22.49138888888889,2665.0
La Paz,Colima,1288.158,21.31,2949.0
La Paz,Durango,963.649,17.99388888888889,1534.0
La Paz,Guanajuato,1400.623,22.941388888888888,3137.0
La Paz,Chilpancingo,1921.869,28.725555555555555,4302.0
La Paz,Pachuca,1682.386,25.92527777777778,3770.0
La Paz,Guadalajara,1130.416,19.8075,2450.0
La Paz,Toluca,1597.559,25.180555555555557,3570.0
La Paz,Morelia,1413.61,22.828333333333333,3126.0
La Paz,Cuernavaca,1733.543,26.801944444444445,4007.0
La Paz,Tepic,924.307,17.260277777777777,1760.0
La Paz,Monterrey,1488.882,23.430555555555557,2892.0
La Paz,Oaxaca,2166.401,33.335,4423.0
